epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,3087.85,1.0373,0.87798,1.11506,0.69556,0.70806,0.7369,0.47241,1.27856,1.05088,1.27978,0.0003367,0.0003367,0.0003367
69,3129.93,1.03731,0.86987,1.10933,0.71936,0.69246,0.73187,0.4697,1.28474,1.05994,1.28521,0.0003268,0.0003268,0.0003268
70,3172.36,1.02036,0.85316,1.11548,0.7719,0.64444,0.73483,0.4762,1.28082,1.05705,1.2822,0.0003169,0.0003169,0.0003169
71,3214.68,1.02419,0.84945,1.11132,0.74694,0.67558,0.72494,0.468,1.27569,1.06645,1.27701,0.000307,0.000307,0.000307
72,3256.89,1.02543,0.84883,1.11006,0.73108,0.69963,0.73717,0.47154,1.2812,1.04358,1.2761,0.0002971,0.0002971,0.0002971
73,3299.11,1.02537,0.8473,1.11053,0.74409,0.69117,0.74124,0.47856,1.28764,1.05196,1.28479,0.0002872,0.0002872,0.0002872
74,3341.08,1.02508,0.84817,1.11161,0.77097,0.6746,0.73785,0.47894,1.2979,1.04719,1.2877,0.0002773,0.0002773,0.0002773
75,3383.22,1.01494,0.83134,1.10995,0.76133,0.68948,0.74539,0.48345,1.27763,1.04975,1.28273,0.0002674,0.0002674,0.0002674
76,3426.25,0.99382,0.81521,1.09385,0.73381,0.69959,0.74192,0.48634,1.27468,1.06681,1.27102,0.0002575,0.0002575,0.0002575
77,3470.47,1.00732,0.82032,1.10324,0.72498,0.70086,0.73787,0.47955,1.29698,1.06067,1.28718,0.0002476,0.0002476,0.0002476
78,3513.05,0.99032,0.80386,1.09538,0.80216,0.66451,0.74263,0.48194,1.27857,1.05186,1.27618,0.0002377,0.0002377,0.0002377
79,3555.2,1.00141,0.80906,1.09209,0.75394,0.68944,0.74443,0.48241,1.29638,1.03234,1.28807,0.0002278,0.0002278,0.0002278
80,3597.71,0.99225,0.80426,1.09298,0.74441,0.69146,0.74287,0.47616,1.29644,1.03926,1.2893,0.0002179,0.0002179,0.0002179
81,3639.89,0.98714,0.79732,1.08976,0.78515,0.68156,0.74097,0.47824,1.30182,1.04906,1.28979,0.000208,0.000208,0.000208
82,3682.93,0.99214,0.80505,1.09348,0.77721,0.68112,0.73937,0.47694,1.29046,1.04884,1.29047,0.0001981,0.0001981,0.0001981
83,3725.52,0.97681,0.78294,1.08474,0.78298,0.66646,0.73642,0.47821,1.29088,1.03772,1.28312,0.0001882,0.0001882,0.0001882
84,3767.86,0.97449,0.77708,1.0809,0.79067,0.6635,0.74199,0.48084,1.29431,1.05468,1.28626,0.0001783,0.0001783,0.0001783
85,3809.92,0.97366,0.77434,1.07755,0.77305,0.67858,0.73929,0.48227,1.28215,1.04089,1.27756,0.0001684,0.0001684,0.0001684
86,3852.68,0.97225,0.76813,1.08259,0.74824,0.69251,0.73782,0.4835,1.27378,1.03659,1.27972,0.0001585,0.0001585,0.0001585
87,3895.17,0.96724,0.76237,1.0755,0.77541,0.68804,0.74152,0.48611,1.27882,1.04587,1.27532,0.0001486,0.0001486,0.0001486
88,3937.86,0.95765,0.74996,1.07159,0.78291,0.67115,0.73568,0.48466,1.28512,1.05457,1.27824,0.0001387,0.0001387,0.0001387
89,3979.93,0.95555,0.75666,1.07282,0.76889,0.68781,0.7469,0.48908,1.28111,1.04154,1.27735,0.0001288,0.0001288,0.0001288
90,4021.94,0.94125,0.73222,1.06639,0.77092,0.69507,0.75363,0.4933,1.28047,1.02466,1.2767,0.0001189,0.0001189,0.0001189
91,4082.39,0.89951,0.63204,1.02823,0.77142,0.68666,0.74256,0.4833,1.27692,1.03921,1.28226,0.000109,0.000109,0.000109
92,4123.97,0.87374,0.59906,1.01692,0.76407,0.6899,0.74006,0.48441,1.28243,1.04303,1.28622,9.91e-05,9.91e-05,9.91e-05
93,4165.29,0.87048,0.59902,1.01223,0.78718,0.67021,0.74007,0.48293,1.29489,1.04971,1.28997,8.92e-05,8.92e-05,8.92e-05
94,4206.4,0.86139,0.58376,1.00993,0.79228,0.66759,0.74036,0.48626,1.29846,1.05506,1.29174,7.93e-05,7.93e-05,7.93e-05
95,4247.64,0.85455,0.58364,1.00531,0.76377,0.68728,0.73882,0.48457,1.28913,1.05757,1.28232,6.94e-05,6.94e-05,6.94e-05
96,4289.21,0.8547,0.57989,1.00494,0.77602,0.67689,0.73538,0.48224,1.29121,1.06087,1.2826,5.95e-05,5.95e-05,5.95e-05
97,4330.84,0.84975,0.57346,1.00313,0.77669,0.69057,0.74074,0.4852,1.28919,1.05721,1.27975,4.96e-05,4.96e-05,4.96e-05
98,4372.45,0.83831,0.56346,0.99821,0.80835,0.65819,0.73779,0.48551,1.28956,1.05752,1.28248,3.97e-05,3.97e-05,3.97e-05
99,4414.34,0.83801,0.55777,0.9969,0.78574,0.67416,0.73743,0.4828,1.28906,1.05966,1.28143,2.98e-05,2.98e-05,2.98e-05
100,4455.76,0.84201,0.56177,0.9957,0.78306,0.67793,0.73639,0.48313,1.28908,1.06396,1.28115,1.99e-05,1.99e-05,1.99e-05
